login_frequency,feature_usage_score,support_ticket_count,nps_score,contract_value,duration_months,total_interactions_30d,negative_sentiment_ratio,avg_interaction_duration,days_since_last_interaction,support_interaction_ratio,churned
51,79,0,10,88000,43,22,6.7,49.9,5,4.4,0
52,76,0,9,44000,46,19,0.2,69.4,7,0.0,0
7,24,11,1,15000,4,1,53.6,8.1,79,50.0,1
27,35,6,5,22000,16,14,22.3,32.3,12,20.0,1
10,30,11,3,13000,6,3,71.6,4.3,60,66.3,1
9,29,15,1,12000,12,1,49.0,8.4,82,50.0,1
39,66,3,5,66000,12,12,43.5,28.6,17,48.3,1
38,46,7,3,34000,29,12,60.0,23.2,15,50.0,1
2,20,10,3,7000,12,0,0.0,0.0,90,0.0,1
14,29,12,2,20000,7,4,94.4,11.4,48,77.5,1
50,79,1,8,87000,22,17,7.6,43.2,7,0.0,0
10,27,5,3,13000,3,4,93.1,14.3,49,79.5,0
47,82,0,9,43000,20,22,8.8,30.0,6,2.0,0
22,42,4,5,36000,21,8,41.9,20.8,23,38.5,0
12,18,8,3,18000,4,6,69.5,5.3,30,58.6,1
8,25,8,3,20000,9,1,90.6,5.6,83,65.5,1
14,26,14,1,6000,9,1,57.2,5.4,80,50.0,1
37,65,2,9,79000,18,30,11.1,61.0,0,11.9,0
10,16,13,1,12000,4,1,81.3,9.4,81,58.0,1
12,26,13,1,15000,6,3,64.1,12.5,60,59.3,1
54,77,0,8,67000,42,15,13.1,31.9,5,9.5,0
24,41,3,4,46000,14,6,26.4,33.6,25,28.1,0
22,45,3,6,36000,19,10,27.5,14.0,20,20.0,1
37,77,0,8,43000,37,20,13.3,61.5,6,2.6,0
50,72,1,10,60000,35,26,2.2,49.0,2,0.0,0
12,20,14,2,6000,5,6,63.9,11.5,31,50.1,1
5,18,8,3,18000,11,1,76.8,4.9,83,64.4,1
44,79,0,10,49000,41,23,0.5,35.1,1,0.0,0
13,29,7,2,10000,8,2,94.3,11.4,67,72.4,1
20,45,4,4,52000,27,9,56.9,19.9,20,45.0,1
1,19,5,3,12000,9,6,78.0,5.8,30,54.4,1
5,22,15,1,24000,7,6,78.8,5.6,31,56.0,1
8,21,10,1,15000,3,5,77.0,5.4,38,64.6,1
26,48,3,4,33000,19,13,25.1,22.7,14,20.0,1
15,35,5,4,24000,17,8,24.4,13.7,18,20.0,1
52,75,0,10,65000,40,30,12.8,27.0,0,5.2,0
47,81,0,7,85000,28,27,3.1,29.2,4,0.0,0
1,10,11,3,16000,2,2,76.1,7.2,71,55.9,1
2,21,13,1,5000,6,6,94.7,10.9,30,66.8,1
54,83,0,8,42000,33,28,7.3,69.3,0,3.8,0
2,9,13,1,24000,10,5,70.5,12.8,38,50.0,1
18,35,3,6,23000,14,12,39.5,19.0,13,31.6,0
9,20,14,1,6000,12,0,0.0,0.0,90,0.0,1
16,35,4,5,30000,17,14,16.3,14.6,10,20.0,1
25,50,5,5,22000,10,6,20.3,33.6,25,26.2,1
36,65,2,7,44000,27,15,0.8,63.4,7,0.0,0
37,65,2,9,72000,39,24,6.4,45.9,2,0.0,0
31,45,5,3,53000,19,14,56.2,14.8,8,46.0,1
25,35,3,6,27000,23,11,27.6,19.0,14,24.1,0
8,15,15,1,9000,2,4,76.7,6.6,51,58.4,1
43,76,1,8,44000,40,22,10.0,49.6,6,4.0,0
49,79,0,8,60000,34,28,3.9,58.9,4,2.1,0
15,36,6,4,43000,14,7,37.7,21.2,20,21.2,1
55,93,0,7,46000,40,18,13.1,38.9,3,15.5,0
17,36,6,4,20000,14,8,34.8,30.1,23,23.8,1
4,18,8,3,15000,12,0,0.0,0.0,90,0.0,1
17,35,4,6,49000,14,6,35.1,32.7,25,20.0,0
15,35,3,6,25000,19,10,38.3,23.2,17,32.6,1
4,14,10,1,17000,8,2,51.1,5.4,68,50.0,1
56,95,0,10,54000,38,31,0.1,27.3,2,10.1,0
47,83,0,10,82000,44,26,9.7,55.2,4,4.8,0
30,50,3,6,41000,20,12,23.8,19.7,15,20.0,0
38,65,1,10,55000,22,23,9.9,68.0,4,0.0,0
1,21,11,3,10000,3,6,50.8,10.4,30,50.0,1
8,24,5,3,14000,12,0,0.0,0.0,90,0.0,1
35,57,8,3,46000,20,15,42.1,23.4,10,45.0,1
10,18,13,2,10000,5,5,99.4,6.6,41,76.5,1
36,65,2,7,43000,33,24,3.9,54.8,1,11.1,0
45,65,1,7,72000,41,32,1.3,32.9,2,0.0,0
57,80,2,7,60000,31,29,14.5,56.7,0,3.6,0
12,28,9,1,14000,4,2,96.8,4.7,73,81.4,1
52,92,2,7,51000,43,32,13.7,31.3,2,9.0,0
51,89,0,8,69000,29,22,3.3,61.7,3,0.0,0
32,48,6,5,24000,20,13,29.3,15.0,9,29.4,1
21,44,6,5,40000,21,12,23.9,28.7,16,20.0,0
24,45,8,3,54000,24,16,66.7,19.2,9,58.4,1
31,45,8,4,49000,17,13,63.7,20.5,16,48.0,1
39,77,1,10,49000,24,30,3.1,29.1,0,0.5,0
57,89,0,8,81000,33,23,8.5,69.2,7,3.8,0
34,53,2,6,21000,9,8,15.5,22.5,20,20.0,0
43,63,3,5,41000,19,18,37.6,32.4,14,31.4,0
14,24,10,1,18000,5,4,87.3,9.4,52,69.8,1
27,51,6,4,47000,23,6,15.5,33.0,25,20.0,1
8,13,11,2,14000,10,2,87.8,12.6,71,65.2,1
18,35,2,6,20000,13,10,19.4,30.3,20,23.5,1
42,73,1,10,48000,18,16,7.3,40.0,7,4.8,0
21,40,2,6,43000,8,11,41.5,30.9,16,32.2,1
20,36,5,7,29000,5,20,24.1,40.9,1,24.3,1
4,12,13,2,21000,3,4,86.0,6.8,52,64.8,1
47,76,1,9,64000,43,19,5.0,48.4,4,11.0,0
1,10,14,2,13000,8,0,0.0,0.0,90,0.0,1
40,74,2,8,45000,44,30,3.3,67.5,0,0.0,0
16,35,6,5,49000,19,9,17.6,20.6,18,20.0,0
53,79,1,7,45000,22,23,3.5,55.0,7,11.8,0
21,35,6,4,31000,12,9,34.7,16.7,20,22.8,1
56,76,1,8,75000,42,30,1.8,66.7,0,0.0,0
39,46,4,6,29000,1,14,32.7,43.7,9,29.2,0
48,84,1,8,69000,26,32,7.8,65.9,1,5.2,0
13,24,8,3,17000,10,0,0.0,0.0,90,0.0,1
37,52,6,4,33000,23,9,47.3,13.6,18,47.8,1
6,17,11,2,13000,11,3,69.7,7.7,57,50.0,1
16,35,4,4,38000,14,9,42.1,17.4,21,23.7,1
48,87,0,9,80000,31,17,13.2,41.8,5,13.6,0
14,27,12,1,15000,9,3,78.0,15.0,59,64.4,1
23,45,5,3,38000,13,12,38.2,12.5,13,45.0,1
21,44,5,6,23000,16,13,40.3,34.2,8,42.2,1
20,44,5,6,47000,20,12,36.6,34.2,10,32.3,0
44,51,5,5,38000,5,19,26.2,21.4,4,14.0,0
4,14,9,1,20000,4,3,87.0,5.9,60,67.6,1
44,54,2,6,42000,5,12,27.6,26.7,13,22.1,0
22,35,5,4,49000,22,12,40.4,26.3,16,36.3,1
51,72,0,8,86000,37,30,12.7,35.2,1,6.2,0
48,86,1,9,65000,46,15,12.2,48.2,7,14.8,0
56,76,2,7,73000,22,26,1.4,65.4,2,0.0,0
51,72,2,9,46000,20,15,14.8,67.6,6,8.8,0
43,74,0,7,87000,47,20,9.6,56.9,7,0.7,0
25,37,3,5,48000,18,13,31.1,12.3,10,27.9,1
30,49,7,3,47000,16,10,57.0,16.6,15,48.6,1
47,77,1,10,62000,29,17,1.9,67.9,4,0.0,0
39,79,2,9,42000,48,23,13.4,58.7,6,13.7,0
32,45,2,7,43000,5,19,11.5,28.8,1,10.0,0
23,36,4,5,46000,15,8,44.6,17.6,24,36.7,0
30,42,6,4,33000,20,12,44.3,13.3,12,29.4,1
44,71,1,8,66000,37,15,9.0,56.3,5,14.2,0
56,84,1,10,82000,19,32,6.0,28.6,3,0.8,0
17,35,4,5,35000,15,11,38.9,12.8,18,33.1,1
12,31,10,3,14000,2,5,81.1,6.7,38,66.9,1
8,22,14,1,6000,8,1,84.8,7.6,79,58.8,1
39,75,1,9,72000,38,30,0.0,34.6,2,6.0,0
57,88,1,8,78000,36,30,13.0,26.6,0,18.4,0
17,35,6,5,38000,18,13,15.0,24.1,11,20.0,1
11,20,13,2,23000,4,2,66.7,3.2,69,50.0,1
2,22,14,1,9000,3,6,66.9,10.5,30,56.5,1
39,46,6,3,59000,15,11,39.7,15.6,14,45.0,1
56,93,2,7,54000,22,23,3.0,63.7,3,10.4,0
4,23,12,1,6000,6,1,71.1,9.4,80,65.9,1
53,87,1,9,72000,25,25,11.6,61.5,6,8.3,0
60,83,2,8,79000,29,27,4.0,31.3,1,5.2,0
33,45,8,4,39000,15,11,47.9,10.9,16,45.3,1
5,16,9,3,24000,11,0,0.0,0.0,90,0.0,1
15,35,3,4,50000,23,10,19.0,34.0,19,20.0,1
43,74,1,7,54000,40,23,12.5,55.1,2,14.0,0
25,35,3,4,47000,9,9,38.5,24.6,16,28.8,0
21,45,5,3,44000,25,9,66.4,15.4,18,50.1,1
4,10,14,1,16000,5,2,53.2,14.2,68,50.0,1
14,34,11,3,8000,4,2,80.5,6.9,69,56.4,1
33,53,6,3,34000,20,10,47.2,10.1,20,45.0,1
36,47,8,3,55000,23,17,69.6,24.6,10,60.7,0
17,41,4,5,43000,18,9,34.8,22.7,20,22.8,1
54,78,0,8,47000,18,22,4.5,41.6,1,12.6,0
25,35,3,4,45000,14,10,34.5,24.6,14,33.6,1
42,66,0,10,88000,48,32,11.1,45.9,0,13.9,0
8,18,6,3,13000,6,0,0.0,0.0,90,0.0,1
54,82,0,7,54000,34,22,4.2,41.5,2,0.0,0
16,35,4,4,21000,11,13,44.2,32.2,9,28.4,0
7,17,10,3,20000,4,2,88.6,11.1,69,73.9,1
51,70,2,8,59000,2,17,11.4,40.7,10,13.7,0
14,28,15,1,24000,2,2,73.1,6.7,68,52.5,1
19,43,3,5,32000,13,9,40.0,21.7,17,33.0,1
19,35,6,4,33000,10,15,24.1,15.9,7,20.0,0
60,95,0,7,60000,33,27,13.8,47.2,5,11.0,0
1,6,12,1,23000,9,5,61.7,14.6,43,50.0,1
41,68,1,8,66000,35,30,4.4,48.4,0,0.0,0
9,21,6,3,22000,3,2,53.8,5.1,70,50.0,1
51,91,1,10,64000,48,28,13.5,57.4,2,18.8,0
19,43,3,5,35000,8,14,24.2,18.2,7,20.0,1
7,23,12,2,16000,3,2,96.1,13.0,71,68.9,1
20,33,5,6,37000,5,19,7.4,29.6,4,10.0,0
44,72,1,10,52000,47,16,5.1,61.7,7,10.1,0
42,65,0,10,66000,35,22,7.3,26.7,1,12.8,0
34,51,2,6,49000,15,13,41.6,23.9,8,27.3,1
9,29,8,2,9000,3,5,74.3,9.3,42,51.4,1
29,45,6,3,34000,30,12,57.0,12.8,16,54.6,0
49,80,1,8,74000,41,29,5.0,30.7,3,14.0,0
18,35,2,5,41000,10,7,33.4,23.5,21,24.7,1
24,39,6,4,47000,20,9,19.7,18.8,17,25.8,1
14,29,11,3,6000,2,6,79.3,9.2,33,65.4,1
1,11,15,1,7000,6,3,99.9,3.3,63,76.9,1
39,73,0,8,61000,44,30,8.0,68.9,0,0.4,0
3,12,9,1,9000,5,5,79.5,9.2,42,70.6,1
59,87,0,7,40000,29,31,1.5,62.5,3,5.2,0
54,82,2,9,57000,18,27,7.9,32.4,4,15.3,0
25,39,6,4,25000,8,7,33.6,25.6,24,35.9,1
25,45,8,4,47000,17,9,51.0,12.5,20,45.0,1
23,41,4,4,38000,21,10,33.3,12.1,15,26.6,1
57,89,0,9,41000,37,17,2.7,29.5,7,1.2,0
12,22,10,3,16000,2,3,75.4,14.8,63,60.3,1
33,55,3,4,49000,14,10,38.1,20.5,19,30.5,1
24,43,6,5,33000,16,14,30.5,30.3,12,28.4,0
21,42,2,6,24000,15,10,44.5,27.4,18,45.6,1
21,45,8,4,56000,22,8,60.7,16.9,20,51.6,1
18,42,5,6,33000,20,6,37.9,20.8,22,23.3,1
18,35,6,4,24000,19,14,41.1,23.9,7,38.9,0
37,52,5,5,39000,3,15,30.3,31.2,9,15.2,0
10,28,12,1,12000,5,5,81.6,9.0,41,62.3,1
28,39,5,6,48000,9,8,23.2,22.9,20,20.0,1
5,13,7,2,18000,4,5,64.0,7.7,39,50.0,1
37,71,2,9,49000,38,22,6.7,36.0,5,13.4,0
1,6,5,3,23000,9,4,92.4,9.8,53,75.9,1
8,17,5,3,19000,8,6,48.1,5.0,30,50.0,1
38,63,7,4,41000,24,11,39.0,12.0,12,45.0,1
31,56,6,4,34000,24,8,26.8,23.9,23,23.4,0
27,35,5,5,29000,24,8,32.8,31.5,21,20.0,1
14,19,8,3,21000,4,0,0.0,0.0,90,0.0,1
28,39,5,6,30000,15,15,36.2,12.0,9,27.0,0
43,76,1,7,76000,21,23,14.9,25.7,6,10.9,0
20,45,7,3,53000,13,14,61.4,14.2,8,46.1,1
6,23,10,3,8000,5,5,68.4,8.4,42,64.7,1
22,35,3,5,33000,19,15,39.3,27.0,7,31.4,0
31,41,4,5,29000,12,8,17.7,34.7,21,20.0,0
44,65,1,9,45000,46,17,12.6,46.8,3,9.1,0
14,27,12,1,21000,10,1,86.1,8.0,77,60.9,1
22,39,2,6,40000,16,8,25.4,33.7,21,24.3,0
22,37,3,6,48000,10,8,41.6,15.0,19,40.3,1
18,35,6,4,21000,20,13,19.1,30.2,10,20.0,0
47,72,1,8,73000,29,18,3.9,53.2,5,7.1,0
7,24,14,2,24000,9,0,0.0,0.0,90,0.0,1
19,35,3,5,46000,22,6,35.0,27.3,25,27.0,0
31,44,4,7,37000,2,18,15.8,42.6,4,10.0,1
38,73,3,4,54000,12,20,45.5,22.2,8,50.4,1
9,16,11,3,25000,8,2,65.4,13.4,72,54.3,1
53,89,1,10,66000,40,16,12.9,42.0,5,12.3,0
24,35,5,4,30000,19,8,43.6,32.8,23,34.9,0
11,26,6,3,23000,12,0,0.0,0.0,90,0.0,1
36,70,1,8,58000,35,25,7.2,55.5,1,2.8,0
58,95,0,7,52000,46,31,3.5,38.1,1,7.8,0
45,76,0,7,48000,24,16,8.2,39.8,6,0.0,0
21,46,4,7,18000,3,8,18.5,37.2,14,10.0,0
14,29,12,2,18000,5,5,97.9,8.1,42,80.3,1
46,68,2,9,35000,5,15,17.4,36.9,3,16.9,0
13,32,5,6,31000,3,15,22.4,30.0,8,14.9,1
29,45,6,5,42000,21,14,21.5,12.9,8,20.0,0
54,91,2,10,50000,37,23,8.8,25.1,3,0.0,0
38,58,7,4,39000,26,10,60.3,21.1,19,53.2,0
18,38,6,4,25000,10,11,37.8,31.8,18,31.2,1
30,48,8,3,53000,28,16,53.6,12.9,9,45.9,0
19,42,5,5,40000,9,7,33.3,15.4,22,28.6,1
6,18,13,1,17000,4,0,0.0,0.0,90,0.0,1
57,83,2,10,44000,45,17,13.9,67.6,7,10.1,0
3,15,13,2,7000,2,2,62.0,3.2,68,50.0,1
33,44,3,5,32000,22,12,35.9,22.5,10,39.0,0
19,39,3,4,43000,11,8,22.0,32.7,21,20.0,1
37,74,0,7,68000,25,25,12.7,25.2,3,3.2,0
35,54,7,3,45000,27,17,63.2,24.9,5,57.6,1
8,25,5,3,24000,12,2,98.2,3.4,69,83.6,1
26,35,2,5,36000,16,11,21.5,26.1,13,20.0,0
38,78,2,10,86000,40,18,8.1,56.6,7,1.5,0
30,45,5,3,34000,22,10,58.2,14.8,17,47.6,1
13,20,10,2,18000,2,5,65.2,6.1,43,58.2,1
26,49,4,5,25000,16,11,26.0,33.7,14,20.0,1
5,11,14,2,7000,6,1,83.0,3.6,81,76.4,1
30,37,6,4,27000,23,8,28.5,18.0,18,32.8,1
32,46,5,5,36000,10,8,24.2,14.1,22,20.0,0
9,29,10,1,9000,9,2,79.4,5.3,67,61.5,1
38,69,0,7,78000,47,24,6.2,51.5,5,0.0,0
5,12,9,2,16000,8,2,61.6,14.9,73,50.0,1
31,42,5,7,29000,3,10,25.7,20.4,13,13.6,0
30,49,3,5,29000,20,10,18.1,15.7,16,20.0,1
37,68,2,8,52000,24,19,9.9,60.1,4,16.9,0
59,90,1,7,68000,45,32,3.7,28.4,0,0.0,1
17,39,1,7,25000,6,9,24.5,32.9,15,21.6,1
27,41,2,5,28000,24,7,18.2,24.1,22,20.6,1
12,28,11,2,7000,6,4,97.4,14.9,50,75.9,1
45,67,1,8,42000,20,30,13.7,39.0,4,20.0,0
35,65,1,8,69000,19,17,6.8,41.6,3,1.4,0
20,35,4,5,40000,12,11,37.7,31.6,15,39.2,1
43,82,1,7,81000,45,22,11.3,31.1,4,4.0,0
6,13,15,1,18000,8,1,93.8,10.6,83,73.0,1
32,52,2,6,43000,22,7,16.8,18.7,20,20.0,0
1,19,15,1,6000,8,0,0.0,0.0,90,0.0,1
13,22,9,3,14000,7,4,53.7,4.9,47,50.0,1
11,31,5,3,20000,7,3,52.2,3.4,61,50.0,1
40,76,2,8,57000,21,22,7.9,28.0,1,0.0,0
28,47,2,5,39000,21,6,31.9,16.0,25,20.0,0
24,35,6,4,46000,8,11,43.0,15.2,13,40.4,0
18,35,4,4,48000,24,7,35.1,27.6,25,20.1,1
14,30,13,1,7000,9,5,84.2,5.7,41,62.4,1
2,8,15,1,18000,6,3,89.1,11.0,61,80.3,1
7,13,7,3,10000,9,2,63.0,13.5,70,52.4,1
25,42,3,6,31000,5,20,17.8,33.0,1,12.2,1
45,85,0,9,49000,26,27,8.9,38.3,4,0.1,0
35,45,6,3,34000,30,16,42.8,20.9,10,45.0,1
38,71,1,10,51000,28,17,8.4,41.6,6,0.0,0
54,85,0,7,60000,34,31,0.0,38.4,0,0.0,0
35,53,4,6,23000,4,10,34.3,15.3,15,23.4,0
9,17,7,3,14000,5,3,51.2,6.3,61,50.0,1
36,59,5,5,28000,1,17,19.8,37.4,6,20.8,0
16,35,5,4,29000,18,7,35.2,27.5,23,31.2,1
1,12,6,2,21000,10,6,72.8,10.5,30,59.2,1
18,35,4,5,27000,19,14,39.4,16.2,11,25.5,1
38,72,2,8,47000,27,29,14.1,52.3,2,20.0,0
46,73,2,8,56000,44,24,7.3,53.4,2,14.8,0
2,16,12,1,10000,7,1,77.3,14.0,80,69.8,1
7,16,5,3,15000,8,3,84.0,3.6,63,70.2,1
42,65,0,10,66000,30,31,12.7,43.0,0,16.2,0
9,17,12,1,7000,4,5,98.7,6.6,39,79.0,1
26,35,3,6,37000,9,15,40.3,19.7,9,26.2,0
20,35,4,5,31000,10,12,39.2,31.4,14,38.4,1
16,35,6,4,23000,20,14,36.7,29.8,11,35.4,1
19,35,3,6,44000,13,12,31.2,24.2,16,23.0,1
58,80,0,9,72000,42,32,3.7,36.2,3,0.0,0
11,18,6,3,17000,9,2,88.6,14.3,68,80.9,1
38,68,0,8,42000,42,31,13.9,53.0,1,13.1,0
32,54,2,6,23000,21,14,36.4,25.3,8,25.1,0
37,73,2,7,89000,27,29,11.7,53.9,3,10.4,0
11,29,6,3,17000,8,5,78.5,7.0,39,66.8,1
54,90,0,8,66000,28,15,7.8,62.9,7,1.2,0
28,38,5,4,22000,11,11,27.0,18.9,17,20.0,1
30,36,6,5,46000,17,14,16.0,22.3,7,20.0,0
11,20,8,3,23000,4,5,83.2,3.4,42,57.6,1
7,19,6,3,16000,9,3,80.9,7.2,62,54.7,1
31,39,6,4,24000,14,7,44.1,19.2,21,40.3,1
4,17,5,3,8000,5,2,89.0,7.6,70,81.2,1
52,81,2,9,72000,44,30,11.5,38.8,2,12.2,0
6,17,15,1,23000,5,5,51.0,3.8,37,50.0,1
23,42,2,5,44000,18,13,19.4,22.0,8,20.0,1
22,45,6,4,37000,8,6,15.2,23.3,25,20.0,0
23,41,6,5,47000,13,14,25.0,29.8,7,20.0,1
34,59,2,6,30000,22,13,19.8,19.2,11,20.0,0
17,35,3,4,22000,19,10,39.6,32.4,17,36.7,1
43,65,1,8,51000,33,22,4.8,28.5,3,0.0,0
2,18,6,2,18000,9,4,91.5,7.5,51,75.2,1
31,57,6,6,61000,15,11,34.8,21.1,19,65.2,1
38,63,6,3,42000,29,9,64.7,20.3,20,55.8,1
39,69,1,9,66000,18,24,6.6,69.8,6,3.3,0
30,52,3,4,44000,23,15,21.9,31.2,8,20.0,0
21,42,3,5,31000,16,11,25.6,21.4,14,22.5,0
38,72,0,7,58000,5,13,8.4,28.0,5,31.9,1
34,44,4,5,21000,17,12,39.9,18.1,16,36.9,1
1,15,6,2,23000,5,3,83.7,9.6,63,67.0,1
19,35,4,5,40000,24,6,34.5,28.2,25,20.0,1
14,25,2,7,41000,1,14,13.3,38.3,8,13.6,1
32,56,3,6,29000,6,3,28.8,30.2,17,29.0,0
53,74,2,8,58000,29,26,7.1,69.4,3,13.7,0
22,45,4,4,42000,16,18,52.8,13.9,5,45.0,1
31,38,3,5,41000,12,15,38.0,27.5,9,37.4,0
29,51,4,4,36000,20,10,34.8,32.1,15,20.0,1
18,42,3,6,42000,22,10,41.2,13.5,14,36.0,0
1,17,6,2,20000,4,0,0.0,0.0,90,0.0,1
54,94,2,7,75000,43,25,0.0,26.6,2,9.0,0
30,44,5,5,39000,13,9,34.6,15.1,22,20.0,0
30,44,3,4,29000,13,8,32.4,21.9,24,20.0,0
38,65,0,7,47000,31,23,10.8,51.1,4,0.0,0
22,47,2,6,40000,22,11,25.6,17.5,15,20.0,1
8,24,12,1,23000,10,5,61.1,8.6,42,50.0,1
34,54,4,5,27000,15,8,40.0,23.4,22,31.0,0
21,36,5,4,49000,16,9,35.5,12.1,17,32.4,1
14,24,15,1,17000,11,2,90.8,10.4,71,73.6,1
20,45,4,4,33000,25,13,42.8,24.3,10,45.0,1
10,24,10,1,7000,4,5,85.1,3.8,37,70.1,1
46,73,2,9,90000,43,16,5.8,33.1,5,0.0,0
22,45,5,4,48000,13,8,55.1,19.1,20,45.0,1
43,56,3,6,26000,1,11,16.2,41.5,9,21.0,0
6,15,9,1,7000,11,4,50.3,4.3,51,50.0,1
30,41,4,4,21000,16,8,28.7,31.5,21,27.0,0
48,78,2,7,81000,32,30,8.2,61.9,3,14.6,0
37,45,4,5,44000,29,16,66.8,19.0,7,57.4,0
25,38,5,6,27000,16,11,30.3,16.5,12,20.0,1
41,76,1,9,64000,29,21,8.9,34.3,7,16.1,0
9,27,10,2,10000,6,4,80.1,9.3,49,63.1,1
47,86,0,10,61000,25,21,13.9,68.2,4,14.1,0
58,95,2,9,82000,23,16,11.5,48.4,4,11.2,0
37,71,1,8,64000,23,28,11.1,25.7,4,6.9,0
28,45,6,4,44000,20,13,36.2,10.3,10,45.0,1
33,56,6,4,30000,16,13,17.7,31.5,14,24.2,1
37,65,2,9,57000,27,30,8.6,33.2,2,1.9,0
34,56,4,4,47000,24,6,26.6,32.3,25,20.0,1
45,79,1,9,60000,32,22,1.9,29.1,6,4.5,0
1,15,7,3,24000,8,0,0.0,0.0,90,0.0,1
5,24,5,3,21000,11,2,71.2,8.4,73,64.0,1
48,74,2,7,57000,25,20,14.1,65.0,5,6.3,0
28,46,4,6,49000,22,9,43.1,20.7,21,35.5,0
6,26,8,3,22000,10,4,92.6,7.8,51,75.1,1
36,48,7,3,45000,14,9,55.9,21.8,20,53.7,1
36,65,2,10,53000,37,24,9.6,56.1,6,16.7,0
2,8,9,1,19000,3,4,57.6,8.4,50,55.1,1
40,65,1,7,62000,18,23,4.2,51.9,7,8.4,0
4,16,15,1,6000,5,2,72.7,6.5,73,58.2,1
30,36,6,4,49000,24,6,19.9,34.5,22,20.0,1
15,39,2,6,50000,21,11,40.8,14.5,13,27.6,1
15,35,5,5,25000,8,10,42.8,33.8,14,27.2,1
54,84,1,9,76000,30,31,12.0,42.6,0,5.6,0
48,76,1,7,61000,35,24,12.1,41.0,1,4.7,0
37,55,3,7,35000,6,10,33.4,29.9,12,30.7,1
6,23,13,1,14000,12,2,97.6,12.7,73,72.1,1
47,76,2,8,53000,40,15,8.3,62.3,4,7.6,0
52,86,1,8,49000,18,31,4.5,36.5,0,2.6,0
40,76,1,8,73000,38,24,3.9,31.1,0,0.0,0
9,16,15,1,12000,6,5,55.7,10.8,43,52.6,1
14,24,6,3,12000,5,2,61.0,14.8,73,50.0,1
27,52,3,6,20000,24,15,21.2,16.9,7,20.0,1
35,65,0,8,65000,40,22,0.2,66.2,1,0.0,0
56,91,2,7,69000,35,21,0.6,34.4,7,6.5,0
18,35,6,5,36000,20,8,20.3,25.0,20,20.0,0
19,38,2,5,27000,15,13,25.9,20.9,13,20.0,0
3,22,13,2,9000,12,1,94.0,11.6,83,85.2,1
51,85,0,7,75000,37,32,2.3,29.0,0,0.0,0
35,51,5,5,51000,20,16,55.2,19.3,10,45.0,1
46,85,0,8,51000,34,19,14.5,63.5,6,20.0,0
